DESTINATION_SUBZONE,LU_H,LU_W,LU_O
CKSZ04,0.8785714285714286,0.014285714285714287,0.10714285714285715
CKSZ05,0.7947019867549668,0.07947019867549668,0.12582781456953643
CKSZ06,0.7133105802047782,0.027303754266211604,0.25938566552901027
CLSZ01,0.056074766355140186,0.7476635514018692,0.19626168224299065
CLSZ02,0.7586206896551724,0.10344827586206896,0.13793103448275862
CLSZ03,0.9047619047619048,0.0,0.09523809523809523
CLSZ04,0.6,0.0911764705882353,0.3088235294117648
CLSZ05,0.7875,0.049999999999999996,0.1625
CLSZ06,0.403921568627451,0.08235294117647059,0.5137254901960785
CLSZ07,0.6106194690265486,0.10619469026548671,0.2831858407079646
CLSZ08,0.6382978723404256,0.0851063829787234,0.2765957446808511
CLSZ09,0.1774193548387097,0.7419354838709677,0.08064516129032259
DTSZ01,0.13142857142857142,0.3771428571428571,0.49142857142857144
DTSZ02,0.06769825918762089,0.5106382978723404,0.4216634429400387
DTSZ03,0.04185022026431719,0.539647577092511,0.41850220264317184
DTSZ04,0.0,0.9285714285714286,0.07142857142857142
DTSZ05,0.04723346828609987,0.7206477732793523,0.23211875843454793
DTSZ06,0.06382978723404255,0.7446808510638298,0.1914893617021277
DTSZ07,0.0,0.49122807017543857,0.5087719298245613
DTSZ08,0.06072874493927125,0.7489878542510121,0.1902834008097166
DTSZ09,0.055900621118012424,0.6459627329192547,0.29813664596273287
DTSZ10,0.0,0.76,0.23999999999999996
DTSZ11,0.052208835341365466,0.8313253012048193,0.11646586345381527
DTSZ12,0.1044776119402985,0.3880597014925373,0.5074626865671641
GLSZ01,0.06338028169014084,0.8450704225352113,0.09154929577464789
GLSZ02,0.6018099547511312,0.1493212669683258,0.24886877828054296
GLSZ03,0.20612813370473537,0.6016713091922006,0.19220055710306405
GLSZ04,0.5662188099808062,0.18809980806142035,0.24568138195777353
GLSZ05,0.33713355048859933,0.30130293159609123,0.3615635179153095
HGSZ01,0.3057324840764331,0.08280254777070065,0.6114649681528662
HGSZ02,0.7586206896551724,0.024630541871921183,0.2167487684729064
HGSZ03,0.7466666666666667,0.04666666666666667,0.20666666666666667
HGSZ04,0.7310344827586207,0.04827586206896552,0.2206896551724138
HGSZ05,0.6643109540636042,0.0989399293286219,0.23674911660777384
HGSZ06,0.6782407407407407,0.11342592592592592,0.20833333333333331
HGSZ07,0.6422413793103448,0.07758620689655173,0.2801724137931035
HGSZ08,0.3170731707317073,0.5170731707317072,0.16585365853658535
HGSZ09,0.14705882352941177,0.7058823529411765,0.14705882352941177
JESZ01,0.7679999999999999,0.04,0.19199999999999998
JESZ02,0.7578125,0.0625,0.1796875
JESZ03,0.40772532188841204,0.26609442060085836,0.32618025751072965
JESZ04,0.3636363636363636,0.16363636363636364,0.47272727272727266
JESZ05,0.17135207496653282,0.29718875502008035,0.5314591700133869
JESZ06,0.06593406593406592,0.8351648351648352,0.09890109890109891
JESZ07,0.1,0.7500000000000001,0.15000000000000002
JESZ08,0.7634408602150538,0.10752688172043011,0.12903225806451613
JESZ09,0.047619047619047616,0.9047619047619048,0.047619047619047616
